chrom1	start1	stop1	chrom2	start2	stop2	pair_name	Z	strand1	strand2	CA	CB	IAB
chr3	46256064	46256774	chr3	46410058	46410463	36479_36488	2.61620974571992	.	.	157	256	12
chr3	46256064	46256774	chr3	46414056	46414347	36479_36489	1.95150902115814	.	.	157	169	7
chr17	5490749	5491274	chr17	6325322	6325708	21735_21746	3.18504440493757	.	.	177	147	11
chr17	5490749	5491274	chr17	6316303	6316741	21735_21745	1.8984620642987	.	.	177	46	3
chr3	50628216	50628670	chr3	50651297	50651902	36668_36670	2.65135382631965	.	.	51	351	10
chr7	81673845	81674310	chr7	82201452	82201969	50184_50189	1.94209149133112	.	.	89	83	3
chr1	56874779	56875107	chr1	57050432	57051049	1881_1890	2.35718846664453	.	.	50	121	4
chr1	89464323	89464840	chr1	89920530	89921088	2358_2368	2.76371484929104	.	.	84	99	5
chr2	220600905	220601455	chr2	220863576	220863818	31711_31714	1.991464074888	.	.	88	65	3
chr19	3545080	3545798	chr19	3618470	3618935	25523_25530	3.5301173893955	.	.	61	91	8
chr2	75146929	75147370	chr2	75209789	75210031	29258_29261	2.07508951451304	.	.	210	41	5
chr8	97247528	97247708	chr8	97340242	97340538	53240_53243	2.24620951141458	.	.	73	71	4
chr1	101577296	101577911	chr1	101704329	101704650	2583_2592	1.94998178122289	.	.	37	121	3
chr12	120427636	120427956	chr12	120524526	120525395	13724_13725	2.76323833869627	.	.	63	114	6
chr14	21482765	21483439	chr14	21560568	21561001	15643_15647	2.13833178472416	.	.	171	198	10
chr2	88359935	88360358	chr2	88459433	88459818	29415_29416	3.44319066503455	.	.	97	87	9
chr6	44235714	44236261	chr6	44306209	44306695	46680_46683	3.31522289464304	.	.	159	150	15
chr11	15962727	15963050	chr11	16635131	16635547	8532_8537	2.36812870494113	.	.	48	99	3
chr5	70955178	70955417	chr5	71053565	71054126	42982_42984	2.88033360711198	.	.	40	112	5
chr4	139481655	139481831	chr4	139602084	139602607	41301_41303	1.9515696052479	.	.	28	156	3
chr8	139490992	139491325	chr8	139698697	139699099	54066_54067	3.34488485838653	.	.	28	85	4
chr4	164476057	164476514	chr4	164586729	164587051	41729_41734	2.12057256801387	.	.	251	101	8
chr4	164476057	164476514	chr4	164600416	164600692	41729_41736	3.54142409657279	.	.	251	82	14
chr4	164476057	164476514	chr4	164601998	164602138	41729_41737	3.76663443839983	.	.	251	149	21
chr4	164476057	164476514	chr4	164602285	164602683	41729_41738	3.36791917076168	.	.	251	144	17
chr4	164476057	164476514	chr4	164676079	164676556	41729_41739	2.83576581753157	.	.	251	118	11
chrX	137857682	137858180	chrX	138641757	138642257	58149_58152	2.72048434021957	.	.	64	90	4
chr1	107819626	107819934	chr1	108071833	108072602	2648_2657	3.52115868931072	.	.	36	179	7
chr5	130599688	130600229	chr5	130717597	130717838	43980_43986	2.33637195350405	.	.	114	142	7
chr5	130599688	130600229	chr5	130717880	130718428	43980_43987	2.07044405708558	.	.	114	184	7
chr3	37493224	37493738	chr3	37821013	37821525	36235_36238	1.92972015390813	.	.	84	80	3
chr1	57223928	57224116	chr1	57269261	57269571	1892_1893	5.20720467182143	.	.	21	19	5
chr4	121640125	121640551	chr4	121693160	121693351	41127_41129	2.96278095871071	.	.	76	30	4
chr13	39848123	39848473	chr13	40186147	40186552	14584_14589	3.25968823328074	.	.	48	98	5
chr7	2139787	2140202	chr7	2234676	2235025	48833_48836	2.27108888458553	.	.	70	41	3
chr20	43767444	43767832	chr20	43919420	43919846	33246_33249	2.21442709601724	.	.	53	70	3
chr1	245316248	245316811	chr1	246166310	246166952	5383_5396	2.73132131975941	.	.	133	172	8
chr12	26249942	26250604	chr12	26555614	26555867	11678_11689	2.91255062411316	.	.	140	30	4
chr1	224832269	224832670	chr1	225039139	225039529	4942_4946	2.09331361606431	.	.	64	203	5
chr1	224832269	224832670	chr1	225040501	225041036	4942_4947	2.24392677812785	.	.	64	252	6
chr1	224832269	224832670	chr1	225110211	225110712	4942_4949	2.51018810999507	.	.	64	96	4
chr6	31519129	31519435	chr6	31566372	31566756	46142_46150	3.49591551122745	.	.	128	289	21
chr7	21295897	21296572	chr7	21806881	21807304	49184_49202	2.33562560870656	.	.	195	134	7
chr7	105987108	105987450	chr7	106007376	106007835	50710_50712	2.44944813299953	.	.	34	102	4
chr19	18057160	18057425	chr19	18107562	18108129	26278_26279	2.56081849788177	.	.	45	167	6
chr2	119768968	119769414	chr2	120022666	120023128	29911_29918	2.50667855406728	.	.	45	74	3
chr4	141280971	141281703	chr4	141531033	141531633	41351_41357	2.14156956307623	.	.	120	111	5
chr9	17810935	17811518	chr9	18208173	18208432	54545_54547	3.32245356660182	.	.	116	25	4
chrX	136036349	136036606	chrX	136134329	136135037	58132_58134	2.02993765168351	.	.	66	99	4
chr10	61385537	61386382	chr10	61792393	61792900	6425_6439	2.34833502869585	.	.	199	126	7
chr19	863906	864331	chr19	917544	918031	25333_25335	3.32404793413635	.	.	129	153	14
chr15	89447875	89448386	chr15	89560760	89561263	19178_19181	3.19014128036426	.	.	89	78	7
chr11	129873557	129873823	chr11	129940007	129940257	10967_10970	3.74269976254011	.	.	50	68	7
chr11	129873557	129873823	chr11	129940342	129940712	10967_10971	3.74358612712308	.	.	50	68	7
chr4	155473191	155473864	chr4	155539898	155540207	41627_41629	3.12734230971799	.	.	161	132	13
chr8	112456503	112456784	chr8	112809317	112810027	53556_53557	2.28459925336133	.	.	41	116	3
chr5	158583563	158584238	chr5	158743808	158744134	44763_44768	2.17693328970456	.	.	204	77	6
chr12	31881469	31882634	chr12	32048745	32048892	11802_11813	2.25523219636425	.	.	71	52	3
chr15	74667013	74667156	chr15	74730942	74731509	18752_18760	2.12779422431873	.	.	402	295	19
chr9	87283010	87283598	chr9	87582136	87582431	55186_55195	2.13322101222419	.	.	138	38	3
chr7	28451964	28452188	chr7	28519184	28519447	49403_49405	2.70969822551906	.	.	57	53	4
chr3	133649256	133649568	chr3	133931721	133932152	38035_38039	2.87528589624368	.	.	52	184	6
chr19	12827754	12828034	chr19	12868343	12868833	25985_25988	2.65142793703206	.	.	30	56	3
chr15	90863107	90863847	chr15	91025585	91025982	19244_19252	2.0241587912647	.	.	177	72	5
chr22	34319650	34319982	chr22	34501481	34501770	34936_34939	2.61029142099779	.	.	122	39	4
chr15	58562001	58562731	chr15	59063192	59063664	18240_18252	2.12245840087612	.	.	99	61	3
chr9	126722627	126723152	chr9	126777218	126777404	56038_56040	2.23925504041929	.	.	118	39	4
chr6	106549934	106550203	chr6	106588619	106588780	47459_47462	2.02192161848719	.	.	72	76	4
chr6	106549934	106550203	chr6	106589440	106589626	47459_47463	2.68627755373739	.	.	72	90	6
chr6	106549934	106550203	chr6	106589681	106590112	47459_47464	2.5884954603022	.	.	72	99	6
chr17	41653994	41654621	chr17	41755243	41755765	22758_22760	2.60516731344348	.	.	206	139	11
chr17	8024922	8025226	chr17	8061860	8062420	21840_21843	2.64179245727683	.	.	81	83	6
chr14	32542750	32543251	chr14	32713557	32714035	15880_15883	2.358264923311	.	.	133	45	4
chr14	32542750	32543251	chr14	32724005	32724391	15880_15885	3.02555597494878	.	.	133	148	10
chr11	94802823	94803193	chr11	94871545	94871998	10202_10204	3.45265585472919	.	.	73	81	8
chr11	94802823	94803193	chr11	94884226	94884495	10202_10206	3.11156847607834	.	.	73	221	11
chr11	94802823	94803193	chr11	94884537	94885090	10202_10207	2.87263744250173	.	.	73	279	11
chr11	94802823	94803193	chr11	94826237	94826399	10202_10203	2.58289497357822	.	.	73	42	4
chr7	25299270	25299850	chr7	25429045	25429548	49324_49325	3.36712670072969	.	.	191	149	15
chr10	61859905	61860334	chr10	61968471	61968829	6443_6446	3.26749922380516	.	.	102	81	8
chr1	52607467	52607920	chr1	52761936	52762400	1787_1788	1.99293408111162	.	.	58	80	3
chr1	113683046	113683633	chr1	114220451	114221114	2831_2834	3.27273599011222	.	.	154	80	8
chr6	41673600	41674334	chr6	41701956	41702202	46545_46547	3.65647876035777	.	.	83	118	12
chr1	66718934	66719797	chr1	66749569	66749779	2072_2078	2.00363960880958	.	.	298	93	9
chr5	169527387	169527953	chr5	169643296	169643649	44892_44894	3.3009730907867	.	.	147	56	8
chr5	169527387	169527953	chr5	169611003	169611395	44892_44893	2.86489324285053	.	.	147	94	9
chr7	101386518	101386929	chr7	101457318	101458175	50580_50583	2.5976380171841	.	.	50	272	8
chr14	57126659	57127179	chr14	57533588	57533964	16229_16232	2.71253345822105	.	.	53	59	3
chr14	57126659	57127179	chr14	57783885	57784368	16229_16238	2.65408733844687	.	.	53	116	4
chr10	13451552	13451876	chr10	13482507	13482845	5745_5747	2.793523400191	.	.	22	65	3
chr11	64555009	64555503	chr11	64611793	64612048	9421_9423	1.88638460078921	.	.	60	61	3
chr15	72036240	72036815	chr15	72093261	72094045	18678_18682	2.78982613520665	.	.	83	166	9
chr8	29084149	29084363	chr8	29120587	29120861	52168_52170	2.04634680020201	.	.	68	44	3
chr16	55978028	55978765	chr16	56315064	56315322	20598_20602	3.70439818423433	.	.	70	27	4
chr16	55978028	55978765	chr16	56236895	56237349	20598_20601	2.71451765739853	.	.	70	69	4
chr18	25265837	25266107	chr18	25769410	25769704	24491_24494	3.84071582802535	.	.	24	39	3
chr7	1126332	1127065	chr7	1215655	1216082	48803_48808	2.15435635765348	.	.	116	75	5
chr3	171363971	171364766	chr3	171490002	171490838	38711_38713	3.68084603191044	.	.	132	157	15
chr11	82616900	82617822	chr11	82960992	82961646	10013_10035	3.18733622152439	.	.	210	97	10
chr15	86273356	86274133	chr15	86383691	86384219	19143_19146	2.97005065637346	.	.	79	79	6
chr19	51843307	51843566	chr19	51941282	51941429	27293_27299	2.62304875490261	.	.	167	88	8
chr22	38039309	38039690	chr22	38077392	38077969	35075_35078	2.17868444596592	.	.	66	160	6
chr16	77985589	77986015	chr16	78005183	78005972	21107_21109	2.7400686315291	.	.	57	231	9
chr2	103457768	103458013	chr2	105489812	105490247	29683_29694	1.94387482366276	.	.	74	108	3
chr10	90161752	90162062	chr10	90312705	90313494	7070_7073	2.07167322232714	.	.	43	176	4
chr22	42092963	42093894	chr22	42196187	42196833	35257_35262	2.02154608067683	.	.	290	71	7
chr19	46532154	46532536	chr19	46581833	46582115	27051_27053	2.00092918042586	.	.	86	104	5
chr20	36741880	36742171	chr20	36849431	36849940	33054_33058	2.07030101009629	.	.	38	270	5
chr15	71117394	71117881	chr15	71732675	71733224	18658_18669	2.25929965064714	.	.	76	70	3
chr13	102166901	102167612	chr13	102409574	102410231	15428_15430	4.82128860375742	.	.	93	108	17
chr11	74855501	74855847	chr11	74959713	74960037	9856_9860	2.44401147166114	.	.	90	153	7
chr1	108330009	108330237	chr1	108667996	108668599	2662_2667	1.98171876886889	.	.	35	184	3
chr15	81567262	81568046	chr15	81692935	81693391	19019_19026	3.26671326618674	.	.	238	148	16
chr15	81567262	81568046	chr15	81628968	81629327	19019_19025	2.3932888360509	.	.	238	106	10
chr6	69348158	69348587	chr6	69677938	69678303	46977_46981	2.44168048482631	.	.	79	50	3
chr3	42160264	42160750	chr3	42232525	42233114	36349_36350	3.16092217444715	.	.	146	122	12
chr3	42160264	42160750	chr3	42271336	42271688	36349_36355	2.46288647258896	.	.	146	195	10
chr4	38181194	38181975	chr4	38676993	38677595	39906_39923	2.58597817848423	.	.	397	331	18
chr4	38181194	38181975	chr4	38732435	38733168	39906_39925	2.47078463254343	.	.	397	197	13
chr17	78193289	78193603	chr17	78237187	78237536	23920_23924	2.79770157721653	.	.	30	49	3
chr5	6633496	6633846	chr5	6737715	6738006	42164_42168	2.34931423931813	.	.	93	53	4
chr5	6633496	6633846	chr5	6745516	6746187	42164_42169	2.60177963989034	.	.	93	172	8
chr6	155661579	155662467	chr6	155850591	155850871	48447_48452	3.56615477892033	.	.	93	125	10
chr6	155661579	155662467	chr6	155851285	155851803	48447_48453	3.46026673643808	.	.	93	139	10
chrX	132469140	132469397	chrX	132804210	132804796	58066_58067	3.21444896266995	.	.	30	105	4
chr5	58484222	58484779	chr5	58676277	58676657	42774_42777	2.81253542736875	.	.	103	60	5
chr3	159602554	159603177	chr3	159724266	159724705	38556_38563	3.07005794186179	.	.	197	141	13
chrX	139139063	139139509	chrX	139223628	139223923	58160_58161	2.60747019556503	.	.	69	51	4
chr15	89901740	89902496	chr15	90015951	90016456	19194_19201	2.0591868578848	.	.	282	151	10
chr15	79422997	79423138	chr15	79476320	79477267	18955_18956	2.62365049330899	.	.	9	198	3
chr11	14930123	14930443	chr11	15027656	15028062	8514_8517	3.15973431116053	.	.	100	49	6
chr1	84606825	84607456	chr1	84899366	84899878	2258_2263	3.39966350317658	.	.	62	91	6
chr2	38390235	38390484	chr2	38501186	38501424	28337_28342	1.96983556085794	.	.	35	210	4
chr15	58519757	58520462	chr15	59050403	59050720	18239_18251	1.88921070355869	.	.	174	80	4
chr11	95029988	95030229	chr11	95438636	95439222	10209_10215	2.22720831592529	.	.	23	228	3
chr5	44536796	44537160	chr5	44774304	44774723	42608_42609	2.75103125755947	.	.	39	65	3
chr1	95319842	95320572	chr1	95507215	95507433	2513_2514	2.2689779650805	.	.	157	67	5
chr10	88453530	88453966	chr10	88659186	88660040	7029_7034	2.35450411983984	.	.	45	142	4
chr1	28844961	28845193	chr1	28929356	28929787	1018_1022	2.85829915145794	.	.	132	64	7
chr1	28844961	28845193	chr1	28907656	28908093	1018_1020	1.90935865058686	.	.	132	49	4
chr7	102398731	102399050	chr7	102702413	102702762	50629_50632	2.89283476915598	.	.	29	83	3
chr7	150052782	150052932	chr7	150115044	150115227	51496_51504	1.92972450278821	.	.	99	36	3
chr2	27472926	27473448	chr2	27502784	27503336	28088_28090	2.41064041792208	.	.	92	160	8
chr4	183859255	183859722	chr4	184177873	184178243	41955_41959	3.32865303320045	.	.	109	57	6
chr13	96276250	96276792	chr13	96486228	96486912	15301_15303	2.93825691145552	.	.	101	142	8
chr1	45037803	45038075	chr1	45060592	45061306	1589_1590	2.76821911216135	.	.	30	133	5
chr15	65023412	65024025	chr15	65197509	65198116	18441_18451	2.75084439168723	.	.	202	153	11
chr5	140971670	140972269	chr5	140998536	140999206	44326_44328	2.93788033212073	.	.	263	229	21
chr18	51094365	51094634	chr18	51645764	51646315	24889_24894	3.02032879490499	.	.	29	140	4
chr10	112116382	112116949	chr10	112259262	112259533	7658_7666	1.97272040330635	.	.	139	132	6
chr13	45945087	45945615	chr13	46064096	46064665	14753_14761	3.19444584422079	.	.	101	70	7
chr4	78306563	78306899	chr4	78521571	78521734	40471_40477	2.61498500306029	.	.	77	146	6
chr4	78306563	78306899	chr4	78520669	78520912	40471_40476	2.71406246522701	.	.	77	132	6
chr4	78306563	78306899	chr4	78539681	78540231	40471_40479	2.6866321422397	.	.	77	97	5
chr4	78306563	78306899	chr4	78521767	78522435	40471_40478	2.42907838082117	.	.	77	176	6
chr5	33676297	33676571	chr5	33933832	33934372	42410_42416	2.06928955664213	.	.	72	202	5
chr9	4762622	4763267	chr9	4924098	4924574	54363_54370	1.9920096249627	.	.	218	118	7
chr18	24384324	24384833	chr18	24585584	24585890	24480_24485	2.54692561306891	.	.	78	151	6
chr3	136264537	136264830	chr3	136470737	136471501	38085_38090	2.60594589900283	.	.	41	273	6
chr19	15272429	15272756	chr19	15666556	15667621	26123_26139	2.14696404507025	.	.	31	508	5
chr10	16895147	16895544	chr10	17299192	17300205	5840_5847	2.24516454915314	.	.	34	151	3
chr11	123172302	123173011	chr11	123228590	123229038	10818_10819	2.77984726339719	.	.	119	36	5
chr9	133336411	133337106	chr9	133557875	133558460	56308_56311	3.70040094793632	.	.	175	196	18
chr17	77015664	77016008	chr17	77038507	77038745	23883_23884	2.63286324332184	.	.	40	41	3
chr1	157166659	157166938	chr1	157459666	157459834	3435_3442	1.91149207586676	.	.	43	152	3
chr1	157166659	157166938	chr1	157460352	157460635	3435_3443	1.95825442679452	.	.	43	145	3
chr6	100315883	100316351	chr6	100547278	100547710	47398_47401	2.74116285391592	.	.	96	47	4
chr5	96204528	96205181	chr5	96237179	96237369	43474_43477	2.08970539847005	.	.	316	36	6
chr9	114860042	114860491	chr9	115123715	115124238	55788_55795	2.22387660452253	.	.	136	181	7
chr21	30536603	30537298	chr21	30744450	30745031	33931_33945	3.23289866661201	.	.	112	251	13
chr2	29181493	29182156	chr2	30064238	30064659	28136_28152	1.93519271361376	.	.	210	104	5
chr12	25394087	25394552	chr12	25539802	25539981	11657_11664	4.20374895977909	.	.	85	300	21
chr12	25394087	25394552	chr12	25539613	25539766	11657_11663	4.33012407703484	.	.	85	265	21
chr2	63305991	63306567	chr2	63714177	63714387	28887_28890	2.04093901570882	.	.	83	77	3
chr1	9069940	9070400	chr1	9161503	9162026	271_275	3.25238219687075	.	.	83	146	10
chr22	29138237	29138532	chr22	29168535	29169173	34774_34775	2.76454254681675	.	.	68	60	5
chr20	61605754	61605897	chr20	61640187	61641203	33745_33746	3.58563717118693	.	.	49	438	17
chr19	39138289	39138516	chr19	39166310	39166620	26690_26692	2.77951907969178	.	.	45	32	3
chr17	46428910	46429757	chr17	46534562	46535056	22957_22962	1.96839282408746	.	.	124	130	6
chr17	46428910	46429757	chr17	46662509	46663459	22957_22968	2.41505563658181	.	.	124	317	10
chr17	46428910	46429757	chr17	46670921	46671657	22957_22969	2.0755832037996	.	.	124	222	7
chr17	48439362	48439701	chr17	48556016	48556469	23060_23063	1.89728723945017	.	.	62	130	4
chr3	119217108	119217580	chr3	119396316	119396463	37664_37673	2.11153545240827	.	.	59	74	3
chr12	122231970	122233217	chr12	122332713	122332853	13829_13833	2.31382993724534	.	.	357	14	4
chr3	147102595	147102864	chr3	147334840	147335210	38304_38305	3.4265003198596	.	.	24	53	3
chr6	16472229	16472491	chr6	16495090	16495293	45719_45724	2.04021626433449	.	.	190	84	7
chr20	4270630	4270803	chr20	4573162	4573580	32387_32389	3.8968237979538	.	.	12	71	3
chr9	77388800	77389226	chr9	77691912	77692484	55062_55068	2.38866417727344	.	.	147	150	7
chr1	33684329	33684663	chr1	33833339	33833889	1190_1194	1.95016408279021	.	.	30	159	3
chr1	52593041	52593519	chr1	52761936	52762400	1784_1788	2.66535000249441	.	.	86	80	5
chr8	135613873	135614391	chr8	135643449	135644196	54025_54028	2.53849387796901	.	.	165	123	10
chr1	153483348	153483758	chr1	153540881	153541414	3225_3227	3.92707593471633	.	.	210	183	26
chr3	194392170	194392603	chr3	194980308	194981348	39196_39215	2.00728606813791	.	.	64	303	5
chr8	144465708	144466171	chr8	144516927	144517120	54185_54188	2.12878648286815	.	.	119	24	3
chr8	109931110	109931254	chr8	110294390	110294652	53528_53530	1.99660444639618	.	.	203	32	3
chr1	203242178	203242807	chr1	203307609	203308069	4427_4434	3.75198176308405	.	.	320	396	43
chr1	203242178	203242807	chr1	203309031	203309594	4427_4435	3.4473093560658	.	.	320	509	42
chr1	203242178	203242807	chr1	203274320	203274902	4427_4430	2.58883730580301	.	.	320	119	14
chr1	203242178	203242807	chr1	203275730	203276024	4427_4431	2.09304784172369	.	.	320	142	12
chr1	203242178	203242807	chr1	203296449	203296620	4427_4432	2.31649609205725	.	.	320	120	12
chr1	203242178	203242807	chr1	203296642	203297256	4427_4433	1.99951477567324	.	.	320	137	11
chr9	92212951	92213544	chr9	92864528	92864982	55285_55298	2.94753648235614	.	.	214	157	11
chr1	8076678	8076887	chr1	8408812	8409620	227_238	2.22861440244744	.	.	136	198	7
chr2	227994457	227995131	chr2	228190174	228190637	31837_31841	2.67232699713786	.	.	208	88	8
chr2	227994457	227995131	chr2	228190664	228190815	31837_31842	2.57543197305591	.	.	208	97	8
chr15	101728650	101729019	chr15	101792269	101792532	19451_19454	2.26327927927902	.	.	37	70	3
chr10	26164503	26164936	chr10	26558636	26559069	5983_5986	3.17113875227522	.	.	81	42	4
chr11	64900848	64901034	chr11	64949068	64949218	9450_9454	2.24395187766863	.	.	71	143	6
chr6	41392247	41392728	chr6	41559599	41560321	46533_46540	3.40236254568882	.	.	81	321	14
chr3	124714263	124714860	chr3	124921061	124921528	37810_37823	2.55798048753004	.	.	118	177	8
chr18	45557354	45557685	chr18	45971937	45972279	24768_24773	3.83741560882689	.	.	31	122	6
chr8	126614118	126614541	chr8	126649267	126650267	53801_53803	2.56996214861681	.	.	52	138	6
chr8	132258021	132258554	chr8	132816404	132816888	53960_53962	2.79915682932254	.	.	71	164	6
chr8	132258021	132258554	chr8	132816057	132816378	53960_53961	2.98368429552695	.	.	71	134	6
chr4	4490072	4490715	chr4	4882256	4882709	39464_39478	2.49989119575233	.	.	205	76	6
chr11	118271908	118272088	chr11	118359133	118359565	10641_10646	1.93199763171082	.	.	48	143	4
chr17	66259239	66259568	chr17	66458874	66459522	23497_23506	2.06042328243023	.	.	86	222	6
chr5	5497264	5497669	chr5	5881479	5881763	42141_42145	2.38911612515364	.	.	136	57	4
chr2	173292187	173292384	chr2	173326765	173327117	30750_30752	2.19977923380937	.	.	24	107	3
chrX	108728935	108729458	chrX	108878518	108878704	57749_57751	2.81377879506539	.	.	128	16	3
chr16	29712711	29713007	chr16	29859768	29860249	20254_20264	2.04137881045207	.	.	263	66	6
chr14	67632989	67633388	chr14	67752503	67753014	16482_16484	2.07096643179777	.	.	81	85	4
chr20	47950416	47950806	chr20	48150754	48151170	33392_33396	2.6440651468961	.	.	157	68	6
chr6	76077741	76078209	chr6	76236143	76236757	47088_47090	3.81253858108114	.	.	66	190	12
chrX	118744146	118744437	chrX	118863685	118864188	57885_57895	3.07732927302978	.	.	83	125	8
chr19	5803927	5804451	chr19	6022258	6022685	25626_25633	2.10290993962203	.	.	84	100	4
chr15	31521317	31521821	chr15	31558583	31558902	17633_17636	2.22613807602378	.	.	63	71	4
chr12	121789932	121790574	chr12	121837494	121837733	13798_13799	3.35355452230733	.	.	35	44	4
chr1	21558413	21558785	chr1	21694915	21695570	660_667	3.53622580074488	.	.	81	194	12
chr3	9012512	9013274	chr3	9344129	9344708	35654_35664	3.38149384578534	.	.	202	209	16
chr11	116750493	116750979	chr11	116976697	116977074	10585_10593	3.50852521124966	.	.	89	209	12
chr14	103571171	103571868	chr14	103759108	103759506	17394_17402	2.26469002808667	.	.	188	144	8
chr14	81462679	81463087	chr14	81630469	81630842	16944_16946	3.06707784944309	.	.	55	84	5
chr4	177711066	177711418	chr4	177968494	177968822	41912_41914	2.81988724652868	.	.	42	58	3
chr16	2888897	2889262	chr16	2918160	2918760	19594_19595	2.79758919158856	.	.	26	97	4
chr2	180083642	180084295	chr2	180305136	180305817	30922_30927	2.77501012125082	.	.	153	86	7
chr10	15210427	15210936	chr10	15251805	15252250	5808_5809	2.19689715569721	.	.	86	54	4
chr3	184592782	184593294	chr3	184894392	184895004	38974_38977	3.59053224498137	.	.	126	103	10
chr20	55125581	55126007	chr20	55152425	55152948	33598_33599	2.41378493265819	.	.	145	77	7
chr22	29198807	29199019	chr22	29225239	29225864	34778_34781	2.10930342322429	.	.	39	283	6
chr11	554804	555380	chr11	723240	723651	8136_8141	2.22787059582299	.	.	82	129	5
chr6	148880805	148881461	chr6	149268547	149268927	48294_48306	2.97891866727838	.	.	78	120	6
chr7	17746394	17746849	chr7	18385243	18385751	49118_49133	2.93402533541289	.	.	137	74	6
chr4	155250450	155250776	chr4	155427446	155427846	41618_41626	2.3809662052125	.	.	49	68	3
chr8	66893998	66894802	chr8	66922104	66922581	52767_52768	2.10381476453454	.	.	117	66	5
chr3	131268118	131268661	chr3	131747964	131748546	37975_37981	2.59657737318344	.	.	116	169	7
chr12	14999127	14999390	chr12	15139466	15139729	11516_11525	2.0207832774165	.	.	221	35	4
chr12	14999127	14999390	chr12	15148541	15149302	11516_11526	4.55507248829721	.	.	221	216	34
chr8	133204213	133204715	chr8	133490918	133491189	53974_53977	2.71282004641396	.	.	101	50	4
chr16	88509179	88509962	chr16	88571847	88572191	21408_21413	2.7033728673899	.	.	241	28	6
chr16	88509179	88509962	chr16	88593730	88594281	21408_21414	4.48633670332795	.	.	241	160	33
chr16	88509179	88509962	chr16	88628211	88628737	21408_21416	2.93527759316217	.	.	241	130	13
chrX	109154163	109154827	chrX	109389734	109390156	57758_57765	2.6031865092882	.	.	47	111	4
chr3	52325405	52326033	chr3	52373385	52374021	36721_36725	3.2049648683836	.	.	171	188	17
chr2	120867138	120867868	chr2	120932334	120933049	29940_29941	2.73162880467644	.	.	108	170	10
chr12	2166317	2166738	chr12	2691970	2692547	11114_11127	2.01234549487415	.	.	60	114	3
chr15	22436095	22436441	chr15	22462081	22462378	17550_17552	3.4684028530705	.	.	135	154	16
chr15	22436095	22436441	chr15	22460973	22461959	17550_17551	3.64596925168751	.	.	135	129	16
chr15	81288606	81288907	chr15	81558108	81559129	19010_19018	1.91964494175001	.	.	44	252	4
chr10	2970332	2970951	chr10	3020198	3020785	5494_5496	2.84152641684226	.	.	132	77	8
chr21	46522653	46522822	chr21	46556940	46557331	34377_34380	2.35507625048405	.	.	36	109	4
chr21	46522653	46522822	chr21	46558547	46558744	34377_34381	2.22587174073545	.	.	36	124	4
