chrom1	start1	stop1	chrom2	start2	stop2	pair_name	Z	strand1	strand2	CA	CB	IAB
chr2	74166651	74166813	chr2	74214690	74214882	15414_15416	2.18499945967747	.	.	8	30	3
chr10	101390269	101390620	chr10	101470925	101471221	4036_4037	2.09196763275484	.	.	11	25	3
chr14	93153253	93153511	chr14	93249926	93250605	9240_9243	3.11082122588192	.	.	15	48	8
chr12	124286170	124286558	chr12	124326530	124326755	7653_7654	2.05957032269325	.	.	25	11	3
chr2	11833000	11833389	chr2	11919277	11919692	14705_14707	3.40777668251184	.	.	27	50	13
chr12	21850781	21851091	chr12	22596139	22596803	6326_6333	2.39933098199018	.	.	25	40	4
chr13	85470363	85470647	chr13	86402304	86402529	8242_8244	3.24881322547825	.	.	18	13	3
chr15	68545243	68545659	chr15	68675747	68676109	10001_10003	2.58748776974932	.	.	30	18	5
chr7	106300372	106301094	chr7	106376909	106377352	26638_26639	2.16592746274802	.	.	66	61	12
chr11	65652144	65652550	chr11	65756399	65756930	5206_5209	2.85484000816946	.	.	33	65	12
chr14	72570826	72571066	chr14	72759126	72759488	9019_9020	2.30918808091351	.	.	11	13	2
chr8	64303880	64304269	chr8	65294690	65295020	27725_27730	2.88681946013737	.	.	26	37	5
chr14	65630731	65631320	chr14	66291299	66291784	8903_8916	2.46223005124185	.	.	56	37	6
chr11	90021495	90021783	chr11	90168091	90168231	5544_5545	2.61407133628162	.	.	10	9	2
chr10	17649444	17649945	chr10	18393260	18393633	3203_3204	2.99679427749225	.	.	27	11	3
chr18	5879451	5879774	chr18	6219125	6219404	12877_12881	2.81824425454522	.	.	26	20	4
chr18	5879451	5879774	chr18	6482480	6482966	12877_12884	2.0952333712136	.	.	26	29	3
chr21	30536571	30537300	chr21	30744473	30745011	17905_17909	2.35393256739323	.	.	39	59	8
chr1	32327060	32327325	chr1	32429713	32430270	592_595	2.40655486151582	.	.	18	84	8
chr1	228659628	228659835	chr1	228703049	228703255	2814_2816	2.25870598019961	.	.	9	11	2
chr14	24834779	24835158	chr14	24900961	24901257	8558_8560	2.46125621098635	.	.	23	43	7
chr17	75082565	75083107	chr17	75243119	75243441	12706_12711	3.67424707967062	.	.	33	47	14
chr3	118993604	118994178	chr3	119072188	119072369	19803_19805	2.63097712256538	.	.	29	15	5
chr4	128526507	128526908	chr4	128653785	128654147	21704_21705	2.90384926803928	.	.	25	30	7
chr1	113261382	113261537	chr1	113346741	113347310	1545_1546	2.31274848764145	.	.	20	79	8
chr17	37225690	37225991	chr17	37309077	37309584	11991_11993	2.92657430583116	.	.	20	65	10
chr3	50263491	50263910	chr3	50283624	50283907	19267_19269	2.45576867040144	.	.	90	23	10
chr19	35797687	35797886	chr19	36083135	36083478	14110_14120	2.07305951321006	.	.	7	35	2
chr19	10691680	10692126	chr19	10755328	10755720	13763_13765	4.08440515938221	.	.	63	69	34
chr18	74712316	74712877	chr18	74766952	74767262	13467_13468	2.20762747601221	.	.	31	21	5
chr10	95136063	95136564	chr10	95271069	95271351	3928_3930	2.74907808810402	.	.	52	29	9
chr11	1715287	1715575	chr11	2023353	2023539	4436_4444	2.41887408337023	.	.	63	46	8
chr9	129702946	129703434	chr9	129961476	129961954	29535_29540	3.34409344256549	.	.	58	93	19
chr6	56223910	56224500	chr6	56435585	56435887	24656_24658	3.60702617711131	.	.	52	19	10
chr6	56223910	56224500	chr6	56457712	56457997	24656_24659	3.29306201041728	.	.	52	28	10
chr8	52763021	52763504	chr8	52920840	52921350	27601_27603	3.82506937951676	.	.	45	72	22
chr11	22191483	22191748	chr11	22325846	22326250	4716_4718	2.67859887301624	.	.	10	18	3
chr14	94406014	94406710	chr14	94436994	94437203	9261_9263	2.14212216629205	.	.	71	40	10
chr14	94406014	94406710	chr14	94468106	94468452	9261_9265	3.6246843846201	.	.	71	45	23
chr1	235416501	235416812	chr1	235578685	235578965	2897_2899	2.71556964975359	.	.	25	31	6
chr3	66458192	66458607	chr3	66866583	66866878	19453_19455	2.5954039647645	.	.	35	21	4
chr3	66458192	66458607	chr3	66551841	66551994	19453_19454	2.43540816810212	.	.	35	16	5
chr2	55998815	55999174	chr2	56188440	56188833	15167_15168	2.78165914729434	.	.	11	18	3
chr2	204889323	204889552	chr2	204916230	204916426	16539_16540	2.27791097640881	.	.	11	9	2
chr9	34760541	34760756	chr9	34899619	34899958	28809_28810	2.18100594064438	.	.	7	44	3
chr5	169652679	169653294	chr5	169847767	169848275	23621_23626	3.28141310503463	.	.	62	42	14
chr1	64734837	64735140	chr1	65141473	65141738	1084_1085	3.34910331691217	.	.	21	9	3
chr2	26310899	26311259	chr2	26367940	26368372	14851_14852	2.140939646871	.	.	24	57	7
chr2	89039540	89040018	chr2	89179964	89180262	15536_15539	2.58797459904432	.	.	36	40	8
chr8	124835511	124835915	chr8	125438098	125438572	28270_28278	2.33882820470655	.	.	15	69	4
chr3	17472447	17472889	chr3	17882470	17883135	18884_18888	3.44133120643159	.	.	29	66	10
chr2	27926558	27927052	chr2	28642168	28642561	14880_14884	3.39136790142377	.	.	23	15	4
chr2	27926558	27927052	chr2	28675379	28675701	14880_14885	3.49862677373309	.	.	23	21	5
chr20	52195291	52195959	chr20	52556364	52556772	17711_17722	2.39864848565413	.	.	47	55	7
chr8	70854598	70854991	chr8	71000676	71001311	27782_27784	2.30308791360762	.	.	31	64	8
chr4	69364079	69364522	chr4	70036337	70036514	21201_21203	2.83580392799781	.	.	31	5	2
chr12	82777762	82778003	chr12	83021616	83021999	7052_7055	2.51953598559774	.	.	9	15	2
chr11	120042994	120043270	chr11	120100607	120100806	5835_5836	3.40531591774965	.	.	34	32	12
chr2	122288555	122288888	chr2	122476331	122476594	15809_15812	2.64100497774429	.	.	15	27	4
chr12	40405007	40405290	chr12	40501334	40501701	6480_6481	3.16155398358684	.	.	24	16	6
chr4	37454584	37454920	chr4	37568443	37568765	20976_20977	2.49459955221459	.	.	21	17	4
chr6	90650166	90650573	chr6	91103025	91103338	24904_24907	2.58886040538758	.	.	42	18	4
chr6	90650166	90650573	chr6	91188909	91189476	24904_24908	3.34970068832081	.	.	42	63	11
chr2	100435318	100435607	chr2	100859346	100859712	15619_15620	3.74001613600642	.	.	21	33	7
chr9	38087969	38088676	chr9	38363082	38363364	28873_28877	2.63567119408689	.	.	36	23	5
chr3	108208508	108208940	chr3	108271395	108271734	19699_19700	3.45616600957366	.	.	37	28	12
chr8	91012934	91013675	chr8	91583257	91583582	27931_27935	2.61089640715119	.	.	51	34	6
chr18	8654433	8655089	chr18	8988109	8988656	12892_12896	2.70738454598612	.	.	38	34	6
chr6	49590867	49591150	chr6	49817238	49817668	24582_24583	2.52043032627817	.	.	12	24	3
chr15	78292468	78292677	chr15	78400670	78400972	10178_10179	2.31055939321294	.	.	17	39	5
chr14	30844565	30844914	chr14	31376020	31376264	8582_8588	2.33417108667427	.	.	15	17	2
chr8	133887769	133888125	chr8	134215064	134215566	28388_28390	3.93462095255911	.	.	44	38	13
chr1	232771589	232771892	chr1	233161043	233161250	2858_2861	3.65733263354584	.	.	16	15	4
chr1	203309139	203309582	chr1	203410049	203410255	2448_2450	2.55525800804797	.	.	144	14	10
chr1	203309139	203309582	chr1	203456601	203457257	2448_2452	2.297380731326	.	.	144	49	15
chr6	107780576	107780825	chr6	107976558	107976722	25007_25008	2.16234473383429	.	.	10	17	2
chr14	39576764	39577222	chr14	39937219	39937458	8657_8662	2.72078174128836	.	.	17	20	3
chr3	58173311	58173998	chr3	58202935	58203232	19386_19387	2.62867850487781	.	.	90	37	14
chr12	118312553	118313112	chr12	118492969	118493152	7517_7520	2.42640929313212	.	.	38	13	4
chr1	153324968	153325238	chr1	153467287	153467722	1755_1758	2.6627099945848	.	.	27	28	6
chr1	211496724	211497316	chr1	211526288	211526533	2600_2601	2.96578539615736	.	.	54	22	10
chr8	30085150	30085505	chr8	30413363	30413678	27454_27458	2.19740126873805	.	.	47	32	5
chr8	30085150	30085505	chr8	30458264	30458626	27454_27459	2.4542321235668	.	.	47	39	6
chr8	30085150	30085505	chr8	30239749	30240159	27454_27455	2.3156030814103	.	.	47	33	7
chr14	92601742	92601986	chr14	92818885	92819315	9231_9233	2.77014906387179	.	.	12	18	3
chr15	41149867	41150206	chr15	41184070	41184331	9596_9598	3.71939843362621	.	.	72	36	22
chr15	41149867	41150206	chr15	41186221	41186666	9596_9599	3.57477402557852	.	.	72	68	28
chr19	57751798	57751938	chr19	57791571	57791961	14582_14585	2.29065706554482	.	.	16	24	4
chr12	55247671	55248175	chr12	55351843	55352163	6748_6750	2.40923383727993	.	.	55	52	11
chr17	72919542	72919934	chr17	72956853	72957027	12629_12631	2.31678597642881	.	.	31	37	7
chr18	12391705	12392209	chr18	12659763	12660189	12947_12949	3.89874846549906	.	.	31	28	10
chr9	20885129	20885274	chr9	21110795	21111360	28703_28705	2.6659267859628	.	.	14	49	5
chr2	61021226	61021856	chr2	61225914	61226451	15213_15218	3.46874074323981	.	.	43	51	14
chr9	80073038	80073184	chr9	80366421	80366665	28987_28989	2.3359002942097	.	.	19	10	2
chr1	179090254	179090693	chr1	179338890	179339362	2204_2208	2.51976806537096	.	.	28	44	6
chr1	179090254	179090693	chr1	179261543	179261765	2204_2207	3.05384204442086	.	.	28	14	5
chr1	179090254	179090693	chr1	179163064	179163269	2204_2205	2.28461082167903	.	.	28	14	4
chr18	13874662	13874833	chr18	14086595	14086869	12963_12964	2.75583568798949	.	.	9	24	3
chr17	49078332	49078846	chr17	49133758	49133902	12314_12315	2.80746021711429	.	.	35	40	10
chr7	93429068	93429483	chr7	94024719	94025133	26474_26480	2.16101946400689	.	.	18	39	3
chr2	190615889	190616140	chr2	190934978	190935477	16384_16388	2.41505213512941	.	.	15	50	4
chr11	131449839	131450016	chr11	131543844	131544265	5990_5991	3.24033511299496	.	.	4	22	3
chr1	182570443	182570922	chr1	182753744	182754024	2257_2260	2.61007777391077	.	.	70	53	12
chr14	61928399	61928844	chr14	62304301	62304770	8852_8858	3.84498692380201	.	.	57	69	18
chr7	97650879	97651283	chr7	97795547	97795747	26507_26510	2.22904381499703	.	.	32	26	5
chr7	97650879	97651283	chr7	97797917	97798273	26507_26511	2.52110384865801	.	.	32	38	7
chr8	113813379	113813621	chr8	114449917	114450325	28171_28173	3.75231720954316	.	.	11	33	5
chr4	176955733	176955954	chr4	177261912	177262485	22069_22074	2.1437204509867	.	.	10	24	2
chr5	35089788	35090257	chr5	35183204	35183641	22314_22315	2.61674575256588	.	.	29	16	5
chr1	182931592	182932225	chr1	183197154	183197405	2261_2265	2.58223264673752	.	.	34	25	5
chr1	182931592	182932225	chr1	183196982	183197122	2261_2264	2.70404002242208	.	.	34	22	5
chr10	98400745	98401069	chr10	98478994	98479172	3976_3980	2.06342275842234	.	.	59	53	10
chr10	98400745	98401069	chr10	98590262	98590711	3976_3986	2.47438013841891	.	.	59	62	11
chr22	41799814	41800340	chr22	41929256	41929527	18555_18560	2.79495169963981	.	.	53	16	7
chr1	23030939	23031263	chr1	23215710	23216088	377_380	2.50722883769955	.	.	30	24	5
chr1	23030939	23031263	chr1	23256830	23257120	377_381	2.58069359904221	.	.	30	25	5
chr3	186937975	186938253	chr3	187396622	187397064	20572_20576	2.23021584571015	.	.	23	75	5
chr3	186937975	186938253	chr3	187397301	187397777	20572_20577	2.13394402426101	.	.	23	83	5
chr4	10159371	10159745	chr4	10405420	10405682	20835_20838	2.12980175405406	.	.	23	20	3
chr2	241453274	241453707	chr2	241779950	241780178	16966_16970	3.22498574674626	.	.	30	11	4
chr18	9612305	9612551	chr18	9673297	9673820	12911_12912	2.74407434223476	.	.	18	30	6
chr17	42852114	42852573	chr17	42942540	42942910	12154_12158	3.08447620207012	.	.	48	34	12
chr4	109756051	109756341	chr4	110215287	110215483	21548_21549	4.41241495947416	.	.	7	9	3
chr19	3545091	3545394	chr19	3618415	3618931	13592_13594	2.3240926278567	.	.	19	31	5
chr17	7766036	7766440	chr17	7892093	7892424	11627_11631	2.11757607676927	.	.	35	80	9
chr1	88646233	88646570	chr1	89061009	89061380	1260_1263	3.57830788070069	.	.	15	10	3
chr10	16885213	16885714	chr10	17291848	17292021	3193_3197	2.99411974218329	.	.	21	13	3
chr10	16885213	16885714	chr10	17299616	17300101	3193_3199	2.810299782353	.	.	21	44	5
chr10	16885213	16885714	chr10	17292862	17293035	3193_3198	2.8569598911363	.	.	21	15	3
chr1	163041658	163041926	chr1	163285509	163286005	2011_2013	2.31848130977822	.	.	15	25	3
chr5	126899939	126900244	chr5	127536936	127537420	23088_23095	2.29687823579322	.	.	26	42	4
chr20	33891592	33892124	chr20	34026854	34027082	17384_17386	2.40500666058198	.	.	40	24	6
chr13	95087857	95088161	chr13	95272629	95272896	8268_8270	2.2916125292665	.	.	18	32	4
chr2	70530985	70531307	chr2	70875007	70875376	15353_15356	3.27462448030327	.	.	32	16	5
chr19	2474575	2475285	chr19	2613847	2614115	13558_13561	2.08605357295255	.	.	69	35	8
chr19	2474575	2475285	chr19	2611136	2611471	13558_13560	3.2909734564614	.	.	69	50	18
chr17	63227893	63228194	chr17	63984216	63984441	12503_12509	2.95902618084124	.	.	29	19	4
chr1	220983520	220983782	chr1	221608650	221609082	2711_2717	3.15997190145298	.	.	15	29	4
chr22	45973764	45973923	chr22	46375055	46375211	18637_18645	3.22396433554094	.	.	47	41	9
chr11	11049719	11049945	chr11	11287563	11287879	4584_4589	2.92830897622827	.	.	27	20	5
chr4	86339369	86339571	chr4	86669048	86669430	21376_21378	2.73195066268309	.	.	15	37	4
chr8	122654544	122654907	chr8	122723144	122723402	28242_28243	2.53865356813421	.	.	23	13	4
chrX	13524693	13525080	chrX	13664224	13664545	29820_29821	2.4097477129236	.	.	45	15	5
chr16	2390708	2390848	chr16	2551212	2551575	10509_10515	2.65446809077051	.	.	19	30	5
chr2	62650429	62650609	chr2	63002059	63002782	15237_15239	2.56948088959213	.	.	10	39	3
chr1	160967105	160967400	chr1	161067384	161067807	1968_1971	2.1700143524366	.	.	24	45	6
chr1	160967105	160967400	chr1	161067929	161068193	1968_1972	2.19307504108261	.	.	24	44	6
chr10	75910675	75910835	chr10	75973379	75973640	3697_3698	2.17671155304082	.	.	27	16	4
chr20	796679	797035	chr20	937702	937842	17005_17008	3.67643420060205	.	.	54	91	26
chr20	796679	797035	chr20	936944	937570	17005_17007	3.69461312372878	.	.	54	89	26
chr17	33639779	33640203	chr17	33860260	33860783	11930_11933	2.88205877629421	.	.	33	32	7
chr11	128754697	128755044	chr11	128826271	128826733	5964_5966	3.46885566201648	.	.	33	49	15
chr11	128754697	128755044	chr11	128825823	128825987	5964_5965	3.43849064380547	.	.	33	44	14
chr1	155149144	155149425	chr1	155176679	155176952	1814_1816	2.09028290252306	.	.	21	23	4
chr12	105715071	105715287	chr12	105776941	105777489	7315_7316	2.4760950936796	.	.	9	55	5
chrX	13676785	13677198	chrX	14050373	14050891	29823_29829	2.38024012069934	.	.	22	90	6
chr17	40729721	40730002	chr17	40831862	40832085	12093_12099	2.28838504799562	.	.	40	24	6
chr4	9764754	9765075	chr4	10015451	10015679	20829_20832	3.69248808650232	.	.	43	60	16
chr8	8105338	8105814	chr8	8527222	8527535	27187_27198	2.57281094988313	.	.	35	110	9
chr8	8105338	8105814	chr8	8527963	8528492	27187_27199	2.46571589380443	.	.	35	123	9
chr11	122734399	122735002	chr11	122925069	122925366	5879_5883	2.34392745000275	.	.	37	15	4
chr15	55509864	55510283	chr15	55582211	55583114	9773_9774	4.07021435851133	.	.	55	72	32
chr4	71181770	71181915	chr4	71370792	71371287	21210_21211	3.84914869364141	.	.	7	26	5
chr11	120381772	120382172	chr11	120673002	120673287	5841_5849	2.26561138308618	.	.	59	31	6
chr3	178152340	178152632	chr3	178684334	178684681	20436_20441	2.3042900725591	.	.	27	39	4
chr4	78016462	78016863	chr4	78124685	78125137	21287_21290	3.54091993050081	.	.	44	74	21
chr9	101737227	101737516	chr9	101902912	101903398	29206_29208	2.33361983305689	.	.	34	61	8
chr2	105986196	105986570	chr2	106137603	106137999	15677_15678	2.64081170374873	.	.	31	18	5
chr6	97945699	97946029	chr6	99567235	99567688	24933_24939	2.38790649100253	.	.	12	22	2
chr5	5497345	5497643	chr5	5881549	5881723	22182_22183	2.1049614337637	.	.	27	11	2
chr8	22279988	22280350	chr8	22419376	22419674	27326_27329	2.35736383133611	.	.	27	38	6
chr14	103541966	103542214	chr14	103651733	103651997	9377_9383	2.72474129304901	.	.	12	13	3
chr20	33460664	33460901	chr20	33543546	33543890	17375_17377	3.23678015797701	.	.	53	40	15
chr12	10186348	10186737	chr12	10292561	10293019	6204_6206	3.43056561767814	.	.	23	29	9
chr8	29197708	29198197	chr8	29908458	29908982	27437_27451	2.33930022651759	.	.	59	55	7
chr12	1227227	1227554	chr12	1692445	1693051	6040_6046	3.5974542911473	.	.	36	66	12
chr22	19717959	19718599	chr22	19897521	19897839	18155_18157	3.75235183592099	.	.	27	35	11
chr2	223836445	223836803	chr2	223966495	223966758	16754_16755	2.77256952275649	.	.	20	8	3
chr1	114378308	114378744	chr1	114447497	114448050	1554_1558	2.94048439746296	.	.	25	40	9
chr1	114378308	114378744	chr1	114447250	114447390	1554_1557	3.01553577944481	.	.	25	37	9
chr6	2846631	2847153	chr6	2932376	2932780	23831_23835	3.13519517015981	.	.	53	51	16
chr2	141344066	141344253	chr2	142312361	142312768	15934_15937	2.50645720771073	.	.	11	21	2
chr19	1244392	1244721	chr19	1266996	1267278	13515_13517	3.28526329511644	.	.	29	42	12
chr4	94712801	94713089	chr4	94818807	94819028	21443_21444	2.08589955571035	.	.	19	7	2
chr10	102098262	102098653	chr10	102193369	102193962	4048_4050	3.34436313751017	.	.	58	119	28
chr3	99550837	99551120	chr3	99972982	99973395	19622_19626	2.3211923054772	.	.	19	52	4
chrX	73602995	73603135	chrX	73770027	73770415	30236_30239	3.14980144474697	.	.	21	24	6
chr1	162025798	162026198	chr1	162246363	162246671	2002_2003	3.13479556713686	.	.	23	18	5
chr1	39081460	39081662	chr1	39283874	39284109	724_725	2.20755629515806	.	.	11	15	2
chr10	8095280	8095569	chr10	8515229	8515552	3091_3092	2.62449763290441	.	.	20	9	2
chr1	155036051	155036210	chr1	155056673	155056825	1808_1809	4.16270590393661	.	.	84	90	48
chr20	2332498	2332792	chr20	2432852	2433155	17037_17040	2.69220171760796	.	.	19	23	5
chr16	67312798	67313000	chr16	67373375	67373676	11104_11106	2.82801519714378	.	.	20	11	4
chr2	237261677	237262049	chr2	237936137	237936352	16917_16921	3.0763869305485	.	.	20	6	2
chr14	103544597	103544885	chr14	103759148	103759487	9378_9384	2.28747743737276	.	.	18	35	4
chr5	80802779	80803168	chr5	81134421	81134647	22739_22744	2.96485648030726	.	.	38	18	5
chr6	118886413	118886959	chr6	119121683	119122024	25127_25132	2.44796109132083	.	.	51	25	6
chr17	26973935	26974165	chr17	27003049	27003297	11809_11810	2.41422302826617	.	.	16	12	3
chrX	77165890	77166246	chrX	77280198	77280559	30247_30249	2.34903168688451	.	.	16	26	4
chr6	138909886	138910365	chr6	139086986	139087474	25358_25361	2.70279191785925	.	.	30	49	8
chr7	97128588	97128874	chr7	97464836	97465206	26503_26504	2.78884077763818	.	.	13	23	3
chr13	96672430	96672785	chr13	96881728	96881878	8287_8289	2.08120990780426	.	.	24	8	2
chr10	72575464	72575776	chr10	72639797	72640285	3630_3631	2.92300754893109	.	.	49	50	14
chr11	119227411	119227710	chr11	119345281	119345858	5823_5825	3.40623039708631	.	.	36	35	12
chr3	180630055	180630459	chr3	180894316	180894693	20467_20469	2.13582129437212	.	.	12	18	2
chr10	84556349	84556489	chr10	85631112	85631641	3784_3790	3.46580381102135	.	.	12	43	5
chr20	46979409	46979653	chr20	47237580	47237929	17623_17625	2.33650131640529	.	.	14	49	4
chr7	144733747	144734062	chr7	145787093	145787461	27034_27035	3.36648419535408	.	.	23	16	4
chr9	118925860	118926052	chr9	119409526	119409795	29399_29403	2.70986270808107	.	.	13	13	2
chr1	94511127	94511575	chr1	94801195	94801784	1345_1347	2.35810926234496	.	.	16	46	4
chr7	92320856	92321230	chr7	92462248	92462557	26459_26462	2.25499402518036	.	.	29	54	7
chr12	124286170	124286558	chr12	124516874	124517092	7653_7658	2.50841633301283	.	.	25	21	4
chr2	190953607	190953978	chr2	191237142	191237422	16389_16394	2.14764853279256	.	.	41	22	4
chr19	48466510	48466895	chr19	48794320	48794820	14415_14422	2.18696088613981	.	.	27	36	4
chr6	26066133	26066591	chr6	26097458	26097842	24116_24117	4.11852608094715	.	.	81	50	34
chr17	42021248	42021821	chr17	42072259	42072601	12132_12133	2.77186699197296	.	.	29	18	6
chr2	112645359	112645686	chr2	112806325	112806711	15719_15721	3.87832806571564	.	.	21	37	11
chr8	18769666	18770125	chr8	19124939	19125556	27290_27292	3.80715729725949	.	.	23	19	6
chr6	132246102	132246307	chr6	132539275	132539534	25248_25250	2.37653034828736	.	.	14	13	2
chr10	105176649	105176898	chr10	105241687	105241980	4119_4121	3.21186417323164	.	.	32	29	10
chr1	41239892	41240195	chr1	41314321	41314479	774_775	3.3023340175503	.	.	20	43	10
chr15	74667578	74667872	chr15	74782102	74782612	10099_10104	2.49314931703506	.	.	70	32	10
chr3	143152666	143152970	chr3	143363345	143363999	20125_20126	2.5373978397614	.	.	12	40	4
chr2	85906225	85906626	chr2	85934337	85934717	15505_15506	3.34929202818845	.	.	31	50	14
chr10	119297112	119297412	chr10	119620403	119620735	4264_4268	2.40294139935037	.	.	27	16	3
chr1	157059901	157060408	chr1	157125679	157126226	1874_1875	3.3746918056478	.	.	34	39	13
chr11	2326509	2326947	chr11	2441860	2442235	4449_4452	3.02864970184876	.	.	40	63	14
chr11	2326509	2326947	chr11	2440918	2441168	4449_4451	3.03147579018655	.	.	40	54	13
chr1	153650096	153650730	chr1	153721774	153722331	1766_1767	3.38022985915586	.	.	49	58	19
chr9	97545272	97545842	chr9	97930235	97930488	29146_29152	2.48790161479422	.	.	30	15	3
chr6	109508949	109509497	chr6	109704395	109704711	25034_25035	2.59150079344049	.	.	36	37	7
chr15	89901759	89902415	chr15	90015965	90016326	10320_10326	2.2574479651277	.	.	68	42	10
chr15	89901759	89902415	chr15	89973992	89974238	10320_10324	2.75041737461284	.	.	68	32	12
chrX	47691183	47691534	chrX	47885112	47885362	30078_30079	3.91519646928355	.	.	26	32	11
chr4	25443224	25443567	chr4	25769510	25769888	20936_20937	3.29317299846885	.	.	20	24	5
chrX	53346637	53346964	chrX	53463008	53463219	30124_30126	3.20172958885828	.	.	24	22	7
chr2	192734083	192734311	chr2	193026784	193027524	16422_16423	3.22637213781608	.	.	23	66	9
chr14	60099096	60099459	chr14	60364597	60364787	8825_8827	2.80759275707143	.	.	22	11	3
chr3	72987932	72988332	chr3	73135062	73135569	19519_19523	2.33889282222635	.	.	30	36	6
chr1	161179635	161180173	chr1	161276086	161276297	1977_1983	2.14905464020722	.	.	21	13	3
chr11	94252708	94252992	chr11	94336220	94336611	5567_5569	2.91224211799637	.	.	22	15	5
chr5	169694885	169695238	chr5	169765652	169766420	23622_23625	3.64273654714906	.	.	45	128	31
chr20	50416798	50417065	chr20	50700250	50700509	17695_17697	2.36382840552383	.	.	12	15	2
chr9	131893968	131894285	chr9	132372704	132373631	29585_29592	2.4231501638446	.	.	15	95	5
chr19	47019190	47019394	chr19	47045830	47046264	14365_14367	2.6354689504505	.	.	21	29	6
chr14	81462700	81463000	chr14	81636834	81637244	9153_9155	2.26675799749665	.	.	26	22	4
chr16	67011510	67011925	chr16	67219299	67219568	11097_11101	2.39336723561529	.	.	47	36	7
chr14	51750066	51750344	chr14	52246756	52247272	8726_8731	3.15005115065125	.	.	23	29	5
chr4	123679142	123679649	chr4	123835450	123835789	21682_21684	3.60028767511129	.	.	24	35	10
chr17	40115056	40115429	chr17	40253513	40253847	12074_12079	2.52853392228087	.	.	27	22	5
